wl,n
0.893369141,1.798476
0.886999634,1.799281
0.880720398,1.800094
0.874529297,1.800915
0.868424683,1.801743
0.8624046630000001,1.802578
0.8564676510000001,1.803422
0.850611694,1.804273
0.8448354490000001,1.805132
0.839137024,1.805999
0.833514832,1.806874
0.82796759,1.807757
0.822493774,1.808647
0.817091736,1.809546
0.8117602540000001,1.810453
0.8064978640000001,1.811368
0.801303284,1.812291
0.796175171,1.813222
0.791112244,1.814162
0.786113403,1.81511
0.7811773070000001,1.816066
0.776302734,1.817031
0.7714886470000001,1.818005
0.766733948,1.818987
0.7620374759999999,1.819977
0.7573982539999999,1.820976
0.752815063,1.821984
0.748287048,1.823001
0.743813171,1.824027
0.739392456,1.825061
0.735024048,1.826105
0.730706909,1.827157
0.726440186,1.828219
0.722223022,1.82929
0.7180545039999999,1.83037
0.7139338380000001,1.831459
0.709860229,1.832558
0.705832825,1.833666
0.70185083,1.834784
0.6979135740000001,1.835911
0.694020142,1.837048
0.6901700439999999,1.838195
0.686362366,1.839351
0.682596497,1.840517
0.6788717040000001,1.841694
0.675187317,1.84288
0.671542664,1.844076
0.6679372560000001,1.845282
0.6643703000000001,1.846499
0.660841248,1.847726
0.657349487,1.848963
0.653894409,1.850211
0.6504755249999999,1.851469
0.647092163,1.852738
0.643743774,1.854018
0.640429932,1.855309
0.6371500240000001,1.85661
0.633903503,1.857922
0.630689941,1.859246
0.627508728,1.86058
0.624359497,1.861926
0.62124176,1.863283
0.618154907,1.864652
0.615098633,1.866032
0.612072449,1.867424
0.609075806,1.868827
0.606108521,1.870242
0.6031699220000001,1.87167
0.600259644,1.873109
0.597377319,1.87456
0.594522583,1.876024
0.591695007,1.8775
0.588894165,1.878988
0.5861197509999999,1.880489
0.5833713380000001,1.882002
0.58064856,1.883529
0.577951111,1.885068
0.575278625,1.88662
0.5726306760000001,1.888185
0.5700070190000001,1.889764
0.567407288,1.891356
0.5648311770000001,1.892961
0.5622783809999999,1.89458
0.559748535,1.896212
0.5572413330000001,1.897859
0.5547564700000001,1.899519
0.552293762,1.901194
0.549852722,1.902883
0.547433228,1.904586
0.545034912,1.906303
0.542657532,1.908036
0.540300781,1.909783
0.5379644170000001,1.911545
0.535648132,1.913322
0.5333518070000001,1.915114
0.5310750120000001,1.916921
0.5288175660000001,1.918744
0.526579224,1.920583
0.524359802,1.922438
0.522158997,1.924308
0.519976624,1.926195
0.517812378,1.928098
0.5156660160000001,1.930017
0.513537476,1.931953
0.511426361,1.933906
0.509332581,1.935876
0.507255859,1.937863
0.505195984,1.939867
0.503152771,1.941889
0.501126038,1.943928
0.49911557,1.945985
0.497121185,1.948061
0.495142639,1.950154
0.493179779,1.952266
0.491232422,1.954397
0.489300385,1.956546
0.48738354500000003,1.958715
0.485481598,1.960903
0.483594421,1.96311
0.481721863,1.965337
0.479863831,1.967584
0.47802002,1.969851
0.476190338,1.972138
0.474374603,1.974446
0.472572662,1.976774
0.470784363,1.979124
0.46900952100000004,1.981495
0.467248047,1.983887
0.465499756,1.986301
0.46376446499999996,1.988737
0.462042084,1.991196
0.460332428,1.993677
0.458635406,1.996181
0.45695086700000004,1.998707
0.455278625,2.001258
0.45361856100000003,2.003831
0.451970551,2.006429
0.450334534,2.009051
0.44871029700000004,2.011697
0.447097717,2.014368
0.445496674,2.017065
0.443907074,2.019786
0.442328796,2.022533
0.440761658,2.025307
0.439205627,2.028106
0.437660553,2.030933
0.43612628200000003,2.033786
0.43460272200000005,2.036667
0.433089783,2.039575
0.431587341,2.042512
0.430095306,2.045477
0.428613525,2.048471
0.42714193699999997,2.051494
0.425680359,2.054546
0.424228851,2.057628
0.42278717,2.060741
0.421355225,2.063885
0.419932953,2.06706
0.41852026400000003,2.070266
0.41711703499999997,2.073504
0.415723206,2.076775
0.414338623,2.080079
0.412963287,2.083416
0.411597015,2.086787
0.410239807,2.090192
0.408891418,2.093632
0.40755194100000003,2.097107
0.406221191,2.100618
0.40489910900000003,2.104165
0.403585602,2.107749
0.40228057899999997,2.111371
0.40098397799999996,2.11503
0.399695709,2.118727
0.39841568,2.122464
0.39714386,2.12624
0.39588006600000003,2.130057
0.394624329,2.133914
0.393376556,2.137813
0.39213662699999996,2.141753
0.39090448,2.145736
0.389680054,2.149763
0.388463318,2.153833
0.387254089,2.157949
0.386052399,2.162109
0.384858154,2.166316
0.383671234,2.170569
0.38249166900000003,2.17487
0.381319275,2.179219

wl,k
0.893369141,0.007651
0.886999634,0.007722
0.880720398,0.007795
0.874529297,0.007867
0.868424683,0.00794
0.8624046630000001,0.008013
0.8564676510000001,0.008087
0.850611694,0.008161
0.8448354490000001,0.008236
0.839137024,0.008311
0.833514832,0.008386
0.82796759,0.008462
0.822493774,0.008539
0.817091736,0.008616
0.8117602540000001,0.008693
0.8064978640000001,0.008771
0.801303284,0.00885
0.796175171,0.008929
0.791112244,0.009008
0.786113403,0.009088
0.7811773070000001,0.009169
0.776302734,0.00925
0.7714886470000001,0.009331
0.766733948,0.009413
0.7620374759999999,0.009496
0.7573982539999999,0.009579
0.752815063,0.009663
0.748287048,0.009747
0.743813171,0.009832
0.739392456,0.009917
0.735024048,0.010004
0.730706909,0.01009
0.726440186,0.010178
0.722223022,0.010265
0.7180545039999999,0.010354
0.7139338380000001,0.010443
0.709860229,0.010533
0.705832825,0.010623
0.70185083,0.010714
0.6979135740000001,0.010806
0.694020142,0.010899
0.6901700439999999,0.010992
0.686362366,0.011086
0.682596497,0.01118
0.6788717040000001,0.011275
0.675187317,0.011371
0.671542664,0.011468
0.6679372560000001,0.011565
0.6643703000000001,0.011664
0.660841248,0.011762
0.657349487,0.011862
0.653894409,0.011963
0.6504755249999999,0.012064
0.647092163,0.012166
0.643743774,0.012269
0.640429932,0.012372
0.6371500240000001,0.012477
0.633903503,0.012582
0.630689941,0.012689
0.627508728,0.012796
0.624359497,0.012904
0.62124176,0.013012
0.618154907,0.013122
0.615098633,0.013233
0.612072449,0.013344
0.609075806,0.013457
0.606108521,0.01357
0.6031699220000001,0.013685
0.600259644,0.0138
0.597377319,0.013916
0.594522583,0.014034
0.591695007,0.014152
0.588894165,0.014272
0.5861197509999999,0.014392
0.5833713380000001,0.014514
0.58064856,0.014636
0.577951111,0.01476
0.575278625,0.014885
0.5726306760000001,0.015011
0.5700070190000001,0.015138
0.567407288,0.015266
0.5648311770000001,0.015395
0.5622783809999999,0.015526
0.559748535,0.015658
0.5572413330000001,0.015791
0.5547564700000001,0.015925
0.552293762,0.016061
0.549852722,0.016197
0.547433228,0.016335
0.545034912,0.016475
0.542657532,0.016616
0.540300781,0.016758
0.5379644170000001,0.016901
0.535648132,0.017046
0.5333518070000001,0.017192
0.5310750120000001,0.01734
0.5288175660000001,0.017489
0.526579224,0.01764
0.524359802,0.017792
0.522158997,0.017945
0.519976624,0.0181
0.517812378,0.018257
0.5156660160000001,0.018416
0.513537476,0.018575
0.511426361,0.018737
0.509332581,0.0189
0.507255859,0.019065
0.505195984,0.019232
0.503152771,0.0194
0.501126038,0.01957
0.49911557,0.019742
0.497121185,0.019916
0.495142639,0.020092
0.493179779,0.020269
0.491232422,0.020449
0.489300385,0.02063
0.48738354500000003,0.020814
0.485481598,0.020999
0.483594421,0.021186
0.481721863,0.021376
0.479863831,0.021567
0.47802002,0.021761
0.476190338,0.021957
0.474374603,0.022155
0.472572662,0.022356
0.470784363,0.022558
0.46900952100000004,0.022763
0.467248047,0.022971
0.465499756,0.02318
0.46376446499999996,0.023393
0.462042084,0.023607
0.460332428,0.023825
0.458635406,0.024044
0.45695086700000004,0.024267
0.455278625,0.024492
0.45361856100000003,0.02472
0.451970551,0.02495
0.450334534,0.025183
0.44871029700000004,0.02542
0.447097717,0.025659
0.445496674,0.025901
0.443907074,0.026146
0.442328796,0.026394
0.440761658,0.026645
0.439205627,0.0269
0.437660553,0.027157
0.43612628200000003,0.027418
0.43460272200000005,0.027682
0.433089783,0.02795
0.431587341,0.028221
0.430095306,0.028496
0.428613525,0.028774
0.42714193699999997,0.029056
0.425680359,0.029342
0.424228851,0.029631
0.42278717,0.029925
0.421355225,0.030222
0.419932953,0.030523
0.41852026400000003,0.030829
0.41711703499999997,0.031138
0.415723206,0.031452
0.414338623,0.03177
0.412963287,0.032093
0.411597015,0.03242
0.410239807,0.032752
0.408891418,0.033089
0.40755194100000003,0.03343
0.406221191,0.033776
0.40489910900000003,0.034128
0.403585602,0.034484
0.40228057899999997,0.034846
