wl,n
5.0,1.6240317502663
4.842,1.6332058556533
4.688,1.6417334442682
4.54,1.6495581507485
4.396,1.6568352356965
4.257,1.663555792699
4.122,1.6698063350772
3.991,1.6756189316007
3.865,1.6809814756374
3.742,1.6860063236089
3.624,1.6906368746825
3.509,1.6949749939614
3.398,1.6990024419669
3.29,1.7027737381029
3.186,1.7062709711188
3.085,1.709543722848
2.987,1.7126051747702
2.893,1.715438147562
2.801,1.7181145792243
2.712,1.7206148427182
2.627,1.7229226773359
2.543,1.7251280028472
2.463,1.7271600353641
2.385,1.7290784375914
2.309,1.730889247653
2.236,1.7325755211079
2.165,1.7341669205685
2.097,1.7356472403196
2.03,1.7370650289788
1.966,1.7383827319917
1.904,1.7396263439883
1.843,1.7408195373476
1.785,1.7419273828406
1.728,1.742992131424
1.674,1.7439802356172
1.621,1.7449319592359
1.569,1.7458498390026
1.52,1.7467019118788
1.471,1.7475432140301
1.425,1.7483249348844
1.38,1.7490839326181
1.336,1.7498225628591
1.294,1.7505264589423
1.253,1.7512147150232
1.213,1.751889641765
1.175,1.7525364667588
1.137,1.7531915603611
1.101,1.7538227008788
1.066,1.7544492215126
1.033,1.7550547342523
1.0,1.7556780777757
0.9683,1.7562973768044
0.9377,1.7569182191283
0.9079,1.7575488420438
0.8792,1.7581849835841
0.8513,1.7588353492177
0.8244,1.7594974153468
0.7983,1.7601781977445
0.773,1.7608801757554
0.7485,1.7616058134504
0.7248,1.7623575309256
0.7018,1.7631412029905
0.6796,1.7639560666816
0.6581,1.7648083776856
0.6372,1.7657055418929
0.617,1.7666467187031
0.5975,1.7676347594555
0.5786,1.768678092594
0.5602,1.7697870034397
0.5425,1.7709534510436
0.5253,1.7721946418157
0.5087,1.7735082113872
0.4926,1.7749069668851
0.477,1.7763969806669
0.4618,1.7779954669163
0.4472,1.7796876970942
0.433,1.7815032886078
0.4193,1.7834376078764
0.406,1.7855131978094
0.3932,1.7877228296252
0.3807,1.7901123299044
0.3687,1.792654904549
0.357,1.7954050494599
0.3457,1.7983552384705
0.3347,1.8015488081449
0.3241,1.8049747310816
0.3139,1.8086465749755
0.3039,1.812662211763
0.2943,1.8169687643807
0.285,1.8216335887885
0.2759,1.8267479542496
0.2672,1.8322345043326
0.2587,1.8382585951889
0.2505,1.8448039892896
0.2426,1.8519174110987
0.2349,1.859757418441
0.2275,1.8682985747984
0.2203,1.8777446762354
0.2133,1.8882235599463
0.2065,1.8998877983536
0.2,1.9127094080587

wl,k
5.0,0.0
4.842,0.0
4.688,0.0
4.54,0.0
4.396,0.0
4.257,0.0
4.122,0.0
3.991,0.0
3.865,0.0
3.742,0.0
3.624,0.0
3.509,0.0
3.398,0.0
3.29,0.0
3.186,0.0
3.085,0.0
2.987,0.0
2.893,0.0
2.801,0.0
2.712,0.0
2.627,0.0
2.543,0.0
2.463,0.0
2.385,0.0
2.309,0.0
2.236,0.0
2.165,0.0
2.097,0.0
2.03,0.0
1.966,0.0
1.904,0.0
1.843,0.0
1.785,0.0
1.728,0.0
1.674,0.0
1.621,0.0
1.569,0.0
1.52,0.0
1.471,0.0
1.425,0.0
1.38,0.0
1.336,0.0
1.294,0.0
1.253,0.0
1.213,0.0
1.175,0.0
1.137,0.0
1.101,0.0
1.066,0.0
1.033,0.0
1.0,0.0
0.9683,0.0
0.9377,0.0
0.9079,0.0
0.8792,0.0
0.8513,0.0
0.8244,0.0
0.7983,0.0
0.773,0.0
0.7485,0.0
0.7248,0.0
0.7018,0.0
0.6796,0.0
0.6581,0.0
0.6372,0.0
0.617,0.0
0.5975,0.0
0.5786,0.0
0.5602,0.0
0.5425,0.0
0.5253,0.0
0.5087,0.0
0.4926,0.0
0.477,0.0
0.4618,0.0
0.4472,0.0
0.433,0.0
0.4193,0.0
0.406,0.0
0.3932,0.0
0.3807,0.0
0.3687,0.0
0.357,0.0
0.3457,0.0
0.3347,0.0
0.3241,0.0
0.3139,0.0
0.3039,0.0
0.2943,0.0
0.285,0.0
0.2759,0.0
0.2672,0.0
0.2587,0.0
0.2505,0.0
0.2426,0.0
0.2349,0.0
0.2275,0.0
0.2203,0.0
0.2133,0.0
0.2065,0.0
0.2,0.0
